English,Deutsch
Afghanistan,Afghanistan
Albania,Albanien
Algeria,Algerien
American Samoa,Amerikanisch-Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarktis
Antigua and Barbuda,Antigua und Barbuda
Argentina,Argentinien
Armenia,Armenien
Aruba,Aruba
Ascension,Ascension
Australia,Australien
Austria,Österreich
Azerbaijan,Aserbaidschan
Bahamas,Bahamas
Bahrain,Bahrain (Bahrein)
Bangladesh,Bangladesch
Barbados,Barbados
Belarus,Weißrußland (Belarus)
Belgium,Belgien
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivien
Bosnia and Herzegovina,Bosnien und Herzegovina
Botswana,Botswana
Bouvet Island,Bouvetinsel
Brazil,Brasilien
British Indian Ocean Territory,Britisches Territorium im Indischen Ozean
Brunei Darussalam,Brunei (Brunei Darussalam)
Bulgaria,Bulgarien
Burkina Faso,Burkina Faso (Obervolta - 1984)
Burundi,Burundi
Cambodia,Kambodscha
Cameroon,Kamerun
Canada,Kanada
Cape Verde,Kap Verde
Cayman Islands,Kaimaninseln
Central African Republic,Zentralafrikanische Republik
Chad,Tschad
Chile,Chile
China,China
Christmas Island,Weihnachtsinsel
Cocos (Keeling) Islands,Kokosinseln (Keeling)
Colombia,Kolumbien
Comoros,Komoren
Democratic Republic of the Congo (Kinshasa),Demokratische Republik Kongo
Congo,Republik Kongo
Cook Islands,Cookinseln
Costa Rica,Costa Rica
Ivory Coast,Côte d'Ivoire (Elfenbeinküste)
Croatia,Kroatien
Cuba,Kuba
Cyprus,Zypern
Czech Republic,Tschechien (Tschechische Republik)
Denmark,Dänemark
Djibouti,Dschibuti
Dominica,Dominica
Dominican Republic,Dominikanische Republik (Dom Rep)
East Timor Timor-Leste,Timor-Leste (Osttimor)
Ecuador,Ecuador
Egypt,Ägypten
El Salvador,El Salvador
Equatorial Guinea,Äquatorialguinea
Eritrea,Eritrea
Estonia,Estland
Ethiopia,Äthiopien
Falkland Islands,Falklandinseln (Malvinen)
Faroe Islands,Färöer (Färöer-Inseln)
Fiji,Fidschi
Finland,Finnland
France,Frankreich
French Guiana,Französisch-Guayana
French Metropolitan Areas,Metropolitan-Frankreich
French Polynesia,Französisch-Polynesien
French Southern Territories,Französische Süd- und Antarktisgebiete
Gabon,Gabun
Gambia,Gambia
Georgia,Georgien
Germany,Deutschland
Ghana,Ghana
Gibraltar,Gibraltar
Great Britain,Großbritannien
Greece,Griechenland
Greenland,Grönland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Heard and Mc Donald Islands,Heard und Mcdonaldinseln
Holy See,Heiliger Stuhl (Vatikanstadt)
Honduras,Honduras
Hong Kong,Hongkong
Hungary,Ungarn
Iceland,Island
India,Indien
Indonesia,Indonesien
Iran,Iran
Iraq,Irak
Ireland,Irland
Isle of Man,Insel Man
Israel,Israel
Italy,Italien
Jamaica,Jamaika
Japan,Japan
Jersey,Jersey
Jordan,Jordanien
Kazakhstan,Kasachstan
Kenya,Kenya
Kiribati,Kiribati
Dem Peoples Rep of Korea, Nordkorea
Rep of Korea, Südkorea
Kuwait,Kuwait
Kyrgyzstan,Kirgisistan
Lao,Laos
Latvia,Lettland
Lebanon,Libanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libyen
Liechtenstein,Liechtenstein
Lithuania,Litauen
Luxembourg,Luxemburg
Macao,Macau
Macedonia,Mazedonien
Madagascar,Madagaskar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Malediven
Mali,Mali
Malta,Malta
Marshall Islands,Marshallinseln
Martinique,Martinique
Mauritania,Mauretanien
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexiko
Micronesia,Mikronesien
Moldova,Moldau
Monaco,Monaco
Montenegro,Montenegro
Mongolia,Mongolei
Montserrat,Montserrat
Morocco,Marokko
Mozambique,Mosambik
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Niederlande (Holland)
Netherlands Antilles,Niederländische Antillen
New Caledonia,Neukaledonien
New Zealand,Neuseeland
Nicaragua,Nicaragua (Nikaragua)
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,Norfolkinsel
Northern Mariana Islands,Nördliche Marianen
Norway,Norwegen
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestinian National Authority,Palästinensische Autonomiegebiete
Panama,Panama
Papua New Guinea,Papua-Neuguinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippinen
Pitcairn Island,Pitcairninseln
Poland,Polen
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Katar
Reunion Island,Réunion
Romania,Rumänien
Russian Federation,Russische Föderation (Russland)
Rwanda,Ruanda
Saint Kitts and Nevis,St. Kitts und Nevis
Saint Lucia,St. Lucia
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen
Samoa,Samoa
San Marino,San Marino
Sao Tome and Príncipe,São Tomé und Príncipe
Saudi Arabia,Saudi-Arabien
Senegal,Senegal
Serbia,Serbien
Seychelles,Seychellen
Sierra Leone,Sierra Leone
Singapore,Singapur
Slovakia (Slovak Republic),Slowakei (vormals Teil der Tschechoslowakei)
Slovenia,Slowenien
Solomon Islands,Salomonen
Somalia,Somalia
South Africa,Südafrika
South Georgia and South Sandwich Islands,Südgeorgien und die südlichen Sandwichinseln
Spain,Spanien
Sri Lanka,Sri Lanka (vormals Ceylon)
Saint Helena,St. Helena
St. Pierre and Miquelon,St. Pierre und Miquelon
Sudan,Sudan
Suriname,Suriname
Svalbard and Jan Mayen Islands,Svalbard und Jan Mayen
Swaziland,Swasiland
Sweden,Schweden
Switzerland,Schweiz
Syria,Syrien
Taiwan,Taiwan
Tajikistan,Tadschikistan
Tanzania,Tansania
Thailand,Thailand
Tibet,Tibet
Timor-Leste (East Timor),Timor-Leste (Osttimor)
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad und Tobago
Tunisia,Tunesien
Turkey,Türkei
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks- und Caicosinseln
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,Vereinigte Arabische Emirate
United Kingdom,Vereinigtes Königreich (England)
United States,Vereinigte Staaten (USA)
U.S. Minor Outlying Islands,Kleinere Amerikanische Überseeinseln
Uruguay,Uruguay
Uzbekistan,Usbekistan
Vanuatu,Vanuatu
Vatican City State (Holy See),Vatikan
Venezuela,Venezuela
Vietnam,Vietnam
Virgin Islands (British),Britische Jungferninseln
Virgin Islands (U.S.),Amerikanische Jungferninseln
Wallis and Futuna Islands,Wallis und Futuna
Western Sahara,Westsahara
Yemen,Jemen
Zaire,Zaire
Zambia,Sambia (vormals Nordrhodesien)
Zimbabwe,Simbabwe (vormals Südrhodesien)
